Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.91,0.76,0.5,0.92,0.78,0.34,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.91,0.76,0.5,0.92,0.78,0.34,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.91,0.76,0.5,0.92,0.78,0.34,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.79,0.53,0.93,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.79,0.53,0.93,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.79,0.53,0.93,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.79,0.53,0.93,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.85,0.8,0.51,0.92,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':5,'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.8,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.85,0.8,0.51,0.92,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':5,'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.8,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.78,0.51,0.92,0.8,0.36,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.83,0.8,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.78,0.51,0.92,0.8,0.36,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.83,0.8,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.91,0.77,0.51,0.92,0.79,0.35,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.85,0.79,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.91,0.77,0.51,0.92,0.79,0.35,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.85,0.79,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.81,0.83,0.54,0.9,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.81,0.83,0.54,0.9,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.81,0.83,0.54,0.9,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.81,0.83,0.54,0.9,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.89,0.83,0.57,0.93,0.84,0.42,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.79,0.85,0.56,0.9,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.89,0.83,0.57,0.93,0.84,0.42,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.79,0.85,0.56,0.9,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.82,0.55,0.93,0.82,0.4,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.79,0.85,0.57,0.89,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.82,0.55,0.93,0.82,0.4,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.79,0.85,0.57,0.89,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.91,0.77,0.5,0.92,0.78,0.35,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':15,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.53,0.89,0.81,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.91,0.77,0.5,0.92,0.78,0.35,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':15,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.53,0.89,0.81,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.78,0.51,0.92,0.79,0.36,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':10,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.83,0.81,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.78,0.51,0.92,0.79,0.36,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':10,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.83,0.81,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.78,0.51,0.92,0.79,0.36,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':10,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.83,0.81,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.78,0.51,0.92,0.79,0.36,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':10,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.83,0.81,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.91,0.75,0.48,0.91,0.77,0.33,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.85,0.79,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.91,0.75,0.48,0.91,0.77,0.33,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.85,0.79,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.81,0.55,0.93,0.82,0.39,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.9,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.81,0.55,0.93,0.82,0.39,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.9,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.81,0.55,0.93,0.82,0.39,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.9,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.81,0.55,0.93,0.82,0.39,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.9,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.8,0.54,0.93,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':5,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.81,0.82,0.54,0.89,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.8,0.54,0.93,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':5,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.81,0.82,0.54,0.89,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.8,0.54,0.93,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':5,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.81,0.82,0.54,0.89,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.8,0.54,0.93,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':5,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.81,0.82,0.54,0.89,0.82,0.41
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.78,0.52,0.92,0.8,0.36,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.83,0.81,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.91,0.78,0.52,0.92,0.8,0.36,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.83,0.81,0.53,0.89,0.81,0.39
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.87,0.8,0.52,0.92,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.87,0.8,0.52,0.92,0.81,0.37,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.54,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.79,0.85,0.56,0.9,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.8,0.54,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.79,0.85,0.56,0.9,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.79,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.79,0.84,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.79,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.79,0.84,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.79,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.83,0.8,0.53,0.89,0.81,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.79,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':10,'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.83,0.8,0.53,0.89,0.81,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.81,0.54,0.92,0.82,0.39,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.85,0.89,0.81,0.54,0.92,0.82,0.39,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.89,0.77,0.5,0.92,0.78,0.34,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.89,0.77,0.5,0.92,0.78,0.34,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.89,0.77,0.5,0.92,0.78,0.34,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.89,0.77,0.5,0.92,0.78,0.34,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':15,'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.84,0.8,0.52,0.89,0.8,0.38
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.8,0.54,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.86,0.91,0.8,0.54,0.92,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':7,'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.89,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.87,0.8,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.79,0.84,0.56,0.9,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.83,0.87,0.8,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.79,0.84,0.56,0.9,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.79,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.9,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.79,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.9,0.82,0.4
Ensemble_Imbalance,All_Features,Balanced Random Forest,0.84,0.89,0.79,0.52,0.92,0.8,0.37,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",RandomForest,RandomForest,,0.01,0.82,0.82,0.82,0.54,0.9,0.82,0.4
