Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.87,0.79,0.51,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.55,0.89,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=False),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=False),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.77,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.88,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.88,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.83,0.79,0.49,0.9,0.79,0.35,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.81,0.78,0.84,0.54,0.88,0.83,0.42
